,Unnamed: 0_x,label,onset,duration,amp,avg_vel,med_vel,peak_vel,start_x,start_y,end_x,end_y,ind_id_fn,ID,Gender,DoB,ROI1,ROI2,ROI3,Version,Valid,Valid Freeviewing
25978,9,SACC,3.7699999809265137,0.2,296.64,90054.998,93668.83,110859.721,1537.4,565.3,1271.5,433.8,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25979,10,FIXA,3.9700000286102295,1.185,376.917,27966.516,27116.299,60071.253,1271.5,433.8,903.5,352.3,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25980,11,SACC,5.1549999713897705,0.2,339.703,102437.009,99774.229,133276.36,903.5,352.3,578.3,450.5,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25981,12,FIXA,5.355000019073486,0.517,329.897,39277.338,39048.372,57081.88,578.3,450.5,257.3,526.6,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25982,13,SACC,5.871999979019165,0.184,297.479,97826.057,97628.956,121900.723,257.3,526.6,156.0,806.3,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25983,14,FIXA,6.055999994277954,0.651,235.092,29312.712,30417.741,60154.42,156.0,806.3,282.9,1004.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25984,15,SACC,6.707000017166138,0.267,627.412,141491.892,134035.962,227275.427,282.9,1004.2,386.5,385.4,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25985,16,FIXA,6.973999977111816,1.701,65.433,25086.085,21924.759,61819.753,386.5,385.4,408.0,447.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25986,17,SACC,8.674999952316284,0.168,239.809,87011.388,84988.738,117170.383,408.0,447.2,624.8,344.7,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25987,18,FIXA,8.842999935150146,1.151,371.515,25127.836,24247.696,60860.664,624.8,344.7,948.4,162.2,20210710143220018,202107101432200,FEMALE,1999,Turtle,FatherSonBoat,WomanOnBoat,2,True,True
25989,0,FIXA,0.0169999599456787,1.401,293.96,30572.278,24143.929,94892.319,937.7,571.6,848.5,851.7,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25990,1,SACC,1.4179999828338623,0.134,321.32,143607.517,144910.484,179595.879,848.5,851.7,1169.6,863.6,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25991,2,FIXA,1.5520000457763672,0.5,230.649,33023.48,21869.612,102391.373,1169.6,863.6,1400.1,871.9,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25992,3,SACC,2.052000045776367,0.184,452.812,146926.133,149295.664,185864.823,1400.1,871.9,1497.1,429.6,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25993,4,FIXA,2.236000061035156,1.184,136.866,27749.527,25221.547,91398.694,1497.1,429.6,1472.3,295.0,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25994,5,SACC,3.4200000762939453,0.401,874.929,131842.025,125003.497,176739.86,1472.3,295.0,604.2,185.9,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25995,6,FIXA,3.82099986076355,1.968,406.181,34160.216,28793.08,101303.478,604.2,185.9,319.8,475.9,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25996,7,SACC,5.789000034332275,0.201,302.562,120566.288,123146.684,139531.715,319.8,475.9,583.3,327.2,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25997,8,FIXA,5.990000009536743,0.083,66.263,83336.922,94279.186,98802.647,583.3,327.2,649.3,321.3,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25998,9,SACC,6.072999954223633,0.166,327.95,119691.699,123118.86,128411.472,649.3,321.3,743.6,635.4,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
25999,10,FIXA,6.238999843597412,1.202,197.954,17639.835,7765.462,94449.959,743.6,635.4,850.2,802.2,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26000,11,SACC,7.440999984741211,0.15,349.092,140226.288,144999.296,181712.33,850.2,802.2,1196.1,849.3,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26001,12,FIXA,7.590999841690063,0.25,214.644,53280.541,47732.715,90886.604,1196.1,849.3,1409.2,875.0,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26002,13,SACC,7.840999841690063,0.101,191.889,114469.258,114436.295,125552.119,1409.2,875.0,1591.5,815.1,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26003,14,FIXA,7.941999912261963,0.834,196.402,30399.163,23022.659,99712.485,1591.5,815.1,1786.7,836.8,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26004,15,SACC,8.776000022888184,0.15,335.812,134846.472,133060.658,153659.125,1786.7,836.8,1759.4,502.1,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26005,16,FIXA,8.925999879837036,1.068,177.419,38666.233,33707.932,100211.247,1759.4,502.1,1765.9,679.4,20210710144450335,202107101444503,MALE,1978,WomanOnBoat,Woman,Pierce,2,True,True
26085,0,FIXA,0.0160000324249267,0.501,203.728,54631.753,46668.477,112541.327,975.3,497.4,908.6,304.9,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26086,1,SACC,0.5169999599456787,0.082,172.222,125097.542,124879.661,134227.729,908.6,304.9,750.2,237.3,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26087,2,FIXA,0.5989999771118164,0.868,511.808,41838.308,40122.196,107361.194,750.2,237.3,238.5,226.8,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26088,3,SACC,1.4670000076293943,0.367,1039.84,171556.414,164359.963,248318.102,238.5,226.8,1159.2,710.1,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26089,4,FIXA,1.8339998722076416,0.484,227.631,34992.688,23351.456,98620.928,1159.2,710.1,1354.1,827.7,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26090,5,SACC,2.317999839782715,0.167,408.271,147849.728,150079.852,187631.384,1354.1,827.7,1563.3,477.1,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26091,6,FIXA,2.484999895095825,0.433,260.199,51142.546,49565.878,95510.646,1563.3,477.1,1402.8,272.3,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26092,7,SACC,2.9179999828338623,0.117,229.438,117148.624,116288.5,130678.757,1402.8,272.3,1181.4,212.1,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
26093,8,FIXA,3.0349998474121094,0.384,271.961,43209.545,36398.276,99017.386,1181.4,212.1,911.2,181.2,20210710152837828,202107101528378,MALE,1994,Octopus,SwimmingMan,Woman,2,True,True
